"variable","importancia"
"bathrooms",2284.55130838783
"surface_covered",1202.01791605939
"lat",1200.4179607479
"lon",1132.8532256024
"surface_total",1080.33832059498
"bedrooms",894.768242395807
"rooms",484.913083321819
"dist_colegio_m",465.536067997559
"n_restaurantes_500m",462.337384132121
"dist_transporte_m",451.920542087277
"dist_parque_m",436.876907763986
"parking",279.3502513765
"house",207.366898691821
"month",141.588275068433
"balcony",111.880970276773
"year",104.729227979815
"gym",95.0402265699935
"storage",78.5263989072178
"na_surface_covered",70.8535556513039
"na_bathrooms",53.5126599397343
"na_rooms",52.5243561018413
"green_area",52.1177165209096
"estrato",47.6891668297553
"na_surface_total",45.9640363521159
"luxury",44.8355853556855
"elevator",41.7513726003859
"pool",38.2855173090318
"new_property",34.8683475503812
"remodeled",33.8117174850086
"security",32.432412738337
"na_estrato",25.803203531297
