"term","estimate","std.error","statistic","p.value"
"(Intercept)",378.3383,8.948,42.2821,0
"bedrooms",0.0744,0.0016,47.1618,0
"lon",5.0223,0.0883,56.9021,0
"parking",-0.241,0.0041,-58.759,0
"house",0.2204,0.0059,37.4432,0
"lat",-1.9488,0.0706,-27.5857,0
"dist_colegio_m",2e-04,0,25.6893,0
"balcony",0.0668,0.0041,16.3453,0
"dist_transporte_m",-2e-04,0,-15.0722,0
"estrato",0.0962,0.0065,14.8012,0
"green_area",0.0507,0.0045,11.3511,0
"luxury",0.0482,0.0045,10.6055,0
"remodeled",0.0613,0.006,10.2694,0
"gym",0.047,0.0052,9.0533,0
"elevator",-0.0503,0.0057,-8.7871,0
"n_restaurantes_500m",-5e-04,1e-04,-8.5883,0
"storage",0.0337,0.0042,8.0957,0
"na_surface_covered",-0.0462,0.0059,-7.8307,0
"na_rooms",0.029,0.0048,6.1012,0
"bathrooms",9e-04,2e-04,5.5689,0
"dist_parque_m",1e-04,0,4.5732,0
"surface_covered",0,0,-4.1733,0
"year",0.011,0.0029,3.7494,2e-04
"new_property",-0.0268,0.0072,-3.7212,2e-04
"pool",0.0308,0.0087,3.5553,4e-04
"na_bathrooms",0.0163,0.0055,2.9789,0.0029
"na_surface_total",0.0156,0.0057,2.7288,0.0064
"month",-0.0011,6e-04,-1.7217,0.0851
"security",-0.0045,0.0046,-0.9629,0.3356
"rooms",0,0,0.6239,0.5327
"surface_total",0,0,0.5489,0.5831
