"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,8,0,0.75,20,0.75,1000,95354882.7865739,545668.638180691
0.05,8,0.01,0.75,20,0.75,1000,95356002.5535075,745561.580496546
0.05,8,0.001,0.75,20,0.75,1000,95358718.0738462,465583.621775887
0.05,8,0.01,0.66,20,0.75,1000,95503633.8376735,684537.673802465
0.05,8,0.001,0.66,20,0.75,1000,95592699.4985948,749681.536542097
0.05,8,0,0.66,20,0.75,1000,95681027.9357087,388266.815004591
0.05,8,0.001,0.75,20,0.66,1000,95864785.5585775,513510.737440967
0.05,8,0,0.75,20,0.66,1000,95919856.2530833,608728.732322088
0.05,8,0.01,0.75,20,0.66,1000,95961602.0861271,379579.988974704
0.05,8,0,0.66,20,0.66,1000,96015003.4704232,682332.024613856
0.05,8,0.01,0.66,20,0.66,1000,96053072.7413016,490165.865603732
0.05,8,0.001,0.66,20,0.66,1000,96130722.7280159,491197.565784749
0.05,8,0.01,0.75,40,0.75,1000,98641652.7419379,636641.482604685
0.05,8,0.001,0.66,40,0.75,1000,98675538.1333746,763999.747506472
0.05,8,0,0.75,40,0.75,1000,98727812.0835461,611965.769997014
0.05,8,0.001,0.75,40,0.75,1000,98781938.0087022,800168.009952614
0.05,8,0,0.66,40,0.75,1000,98968841.4008297,565932.49083055
0.05,8,0.01,0.66,40,0.75,1000,99092928.2397295,710007.775553564
0.05,8,0.01,0.75,40,0.66,1000,99230512.586732,605145.689819678
0.05,8,0.001,0.75,40,0.66,1000,99330309.1128272,647946.902798733
0.05,8,0,0.66,40,0.66,1000,99444318.735693,403551.677975273
0.05,8,0,0.75,40,0.66,1000,99506581.229911,806116.124408247
0.05,8,0.01,0.66,40,0.66,1000,99514726.5116449,557419.334426383
0.05,8,0.001,0.66,40,0.66,1000,99583670.4152541,585453.512692838
0.05,8,0.001,0.75,20,0.75,500,101065940.61296,570988.171570106
0.05,8,0,0.75,20,0.75,500,101115840.434201,679160.191274452
0.05,8,0.01,0.75,20,0.75,500,101209426.47992,685555.827924341
0.05,8,0.001,0.66,20,0.75,500,101414826.771592,682762.463610093
0.05,8,0,0.66,20,0.75,500,101528727.261965,390159.871021858
0.05,8,0.01,0.66,20,0.75,500,101535488.488523,631147.164400892
0.05,8,0,0.75,20,0.66,500,101612642.823528,586243.673749107
0.05,8,0.001,0.75,20,0.66,500,101846413.34726,577707.221091768
0.05,8,0.01,0.75,20,0.66,500,101870839.232335,350628.84798809
0.05,8,0.01,0.66,20,0.66,500,101871314.612978,646554.885897835
0.05,8,0.001,0.66,20,0.66,500,101978813.486677,566438.101262606
0.05,8,0,0.66,20,0.66,500,101988433.393657,484900.657836209
0.05,8,0.1,0.75,20,0.66,1000,103788317.173726,845646.647395905
0.05,8,0.1,0.66,20,0.66,1000,104036409.586705,724935.746124325
0.05,8,0,0.75,40,0.75,500,104141848.482815,653390.289762341
0.05,8,0.01,0.75,40,0.75,500,104164251.098698,1076122.83279815
0.05,8,0.001,0.75,40,0.75,500,104252735.828075,1007994.86144481
0.05,8,0,0.66,40,0.75,500,104416197.186704,758150.935651731
0.05,8,0.001,0.66,40,0.75,500,104486352.028023,496664.721423466
0.05,8,0.01,0.66,40,0.75,500,104617213.784288,742920.162249076
0.05,8,0.01,0.66,40,0.66,500,104716480.264364,919268.076364321
0.05,8,0.1,0.75,20,0.75,1000,104768640.763688,745759.199781341
0.05,8,0,0.75,40,0.66,500,104805850.633512,907239.373121625
0.05,8,0.1,0.66,20,0.75,1000,104843971.872758,616082.434372499
0.05,8,0.1,0.75,40,0.66,1000,104924267.235147,755787.53216534
0.05,8,0.01,0.75,40,0.66,500,104932681.650264,823086.797212461
0.05,8,0.001,0.75,40,0.66,500,104952725.155278,908170.596569696
0.05,8,0,0.66,40,0.66,500,104960225.832736,747078.388296292
0.05,8,0.001,0.66,40,0.66,500,105121496.70728,924292.719335734
0.05,8,0.1,0.66,40,0.66,1000,105288302.387665,566797.392666572
0.05,8,0.1,0.75,20,0.66,500,105387408.779752,652783.302394529
0.05,8,0.1,0.66,20,0.66,500,105418370.42576,767055.93141961
0.05,8,0.1,0.75,40,0.75,1000,105809617.459404,837517.900197926
0.05,8,0.1,0.75,20,0.75,500,105888332.688434,778526.966427029
0.05,8,0.1,0.66,40,0.75,1000,106022458.146931,772399.678546095
0.05,8,0.1,0.66,20,0.75,500,106228729.357751,468920.686929136
0.05,8,0.1,0.75,40,0.66,500,106832268.273667,1102887.1563104
0.05,8,0.1,0.66,40,0.66,500,106967275.446337,952941.629100716
