"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.01,8,0,0.75,20,0.66,1000,135002046.861655,11649622.1941364
0.01,8,0.01,0.75,20,0.66,1000,135106369.013633,11926601.8159647
0.01,8,0.01,0.66,20,0.66,1000,135151771.569517,12040154.1458989
0.01,8,0.001,0.75,20,0.75,1000,135170399.053544,11703082.3941368
0.01,8,0.1,0.75,20,0.66,1000,135357289.646236,11778097.02343
0.01,8,0,0.75,20,0.75,1000,135433442.020164,12178645.0465643
0.01,8,0.1,0.75,40,0.66,1000,135485134.902992,11680656.7666797
0.05,8,0.1,0.66,40,0.75,1000,135490904.083891,11649618.7960083
0.05,8,0.01,0.75,20,0.66,250,135495479.388591,12150445.0911493
0.01,8,0,0.75,40,0.66,1000,135563189.039237,11547324.0920358
0.01,8,0.01,0.75,20,0.75,1000,135571640.053493,12123570.6754394
0.05,8,0.1,0.66,20,0.75,1000,135577051.752089,12407691.1280335
0.05,8,0.1,0.66,20,0.66,1000,135579679.973751,11661959.7942236
0.01,8,0.1,0.75,20,0.75,1000,135617977.764157,12024653.0061312
0.05,8,0.1,0.75,20,0.66,1000,135620324.431961,11489461.2452849
0.01,8,0.01,0.75,40,0.75,1000,135634017.424494,11783841.8011638
0.01,8,0.001,0.66,20,0.75,1000,135643762.01621,11990766.1874978
0.01,8,0.01,0.66,40,0.66,1000,135644342.638186,11747868.8063447
0.01,8,0,0.66,20,0.75,1000,135654099.439604,12132173.153676
0.01,8,0.001,0.75,20,0.66,1000,135675213.799084,11997177.9591322
0.05,8,0,0.75,20,0.75,250,135685658.208527,12083433.0946531
0.01,8,0,0.66,40,0.75,1000,135692671.538354,12075970.5567975
0.01,8,0.001,0.75,40,0.66,1000,135701106.696019,11710720.3929864
0.05,8,0.1,0.66,20,0.75,500,135701693.81106,12223593.7474648
0.05,8,0.1,0.66,20,0.66,250,135701766.943511,12955378.9809435
0.05,8,0.1,0.66,40,0.75,500,135703274.237694,11781497.1520682
0.01,8,0.001,0.66,20,0.66,1000,135705450.396614,12561488.2478734
0.01,8,0.01,0.75,40,0.66,1000,135708237.511151,11462750.9695775
0.01,8,0,0.75,40,0.75,1000,135744644.327743,11628974.8727651
0.01,8,0.1,0.75,40,0.75,1000,135748170.406158,11857182.9725945
0.01,8,0.001,0.66,40,0.75,1000,135750790.665992,11790446.3353469
0.05,8,0.01,0.66,20,0.75,250,135755933.759255,12578199.2519947
0.01,8,0.1,0.66,20,0.75,1000,135775033.875973,12486310.5709074
0.05,8,0.1,0.75,40,0.75,1000,135781719.307221,11366625.1871166
0.01,8,0.01,0.66,40,0.75,1000,135789142.875342,12017736.332455
0.01,8,0.001,0.75,40,0.75,1000,135793333.511774,11862016.2899579
0.05,8,0,0.66,40,0.75,250,135842299.904753,12223785.0876361
0.01,8,0,0.66,20,0.66,1000,135844341.810793,12621340.0621035
0.01,8,0.1,0.66,20,0.66,1000,135847600.652537,12815138.9154182
0.01,8,0.1,0.66,40,0.66,1000,135852235.201807,11826217.5767331
0.05,8,0.001,0.75,20,0.66,250,135855641.908952,11896635.2671113
0.05,8,0.001,0.75,20,0.75,500,135856139.968285,12474873.511393
0.01,8,0.01,0.66,20,0.75,1000,135880936.978848,12292310.3991042
0.05,8,0,0.75,40,0.75,250,135899918.701239,11285476.431555
0.05,8,0.001,0.75,20,0.75,250,135942013.445807,11913111.7193082
0.05,8,0.1,0.75,20,0.75,1000,135948273.279924,11831403.5951815
0.01,8,0.001,0.66,40,0.66,1000,135951920.77556,12149150.8940812
0.01,8,0.1,0.66,40,0.75,1000,135962099.533437,12067540.6340913
0.05,8,0.001,0.66,40,0.75,500,135962713.722059,11737924.2408937
